title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
PASSION ,135,https://i.ibb.co/ZWz0X2D/LUXIO-135-PASSION-103.png,Nail O`Clock,LUXIO,COLOURS,a20923,JpDb.yb8QQW5tykynxlZIQ,,,,,
PROPOSAL ,136,https://i.ibb.co/XDT92bk/LUXIO-136-PROPOSAL-104.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,cac1b2,muhrNyvSRoGoxW1wnDySoA,,,,,
NIGHTFALL ,137,https://i.ibb.co/bQq8b2N/LUXIO-137-NIGHTFALL-105.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,060709,RNicDk-HRgaiGGF14Gbalg,,,,,
SHADOW ,138,https://i.ibb.co/tQ0hM39/LUXIO-138-SHADOW-106.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,586471,VpEvPXpXQuGIookV-IhzFQ,,,,,1
INCOGNITO ,139,https://i.ibb.co/nsG4DVv/LUXIO-139-INCOGNITO-107.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,687846,wDT.d-E-RrqipTij3FYw6w,,,,,
LOOKOUT ,140,https://i.ibb.co/gRF33vb/LUXIO-140-LOOKOUT-108.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,0b0672,0Ka0wRlxRS29-47TcfnPxg,,,,,
HUSH ,141,https://i.ibb.co/3pfRbN2/LUXIO-141-HUSH-109.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,b8afb1,lg87fl63RcGKMQN-iU-i.A,,,,,
CONCEAL ,142,https://i.ibb.co/w4jmYbZ/LUXIO-142-CONCEAL-110.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,cdab9f,9fFb8xRqS56Oa.7oSuuLyA,,,,,
WINK ,143,https://i.ibb.co/ygfLjjp/LUXIO-143-WINK-111.png,"Nail O`Clock, Chicago",LUXIO,COLOURS,93d3ad,oK8NfG4VR.-1bcWHaxnaQw,,,,,
DARING ,144,https://i.ibb.co/gwLLbHJ/LUXIO-144-DARING-112.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,5074ba,GKhQNJ9zSumS0UDHkn4n9w,,,,,1
SASSY ,145,https://i.ibb.co/Hrzv6KQ/LUXIO-145-SASSY-113.png,"Nail O`Clock, Chicago",LUXIO,COLOURS,bb1a68,8qPjX4xHSRCu4fbqU4JS8Q,,,,,
CHEEKY ,146,https://i.ibb.co/YD0nJ3W/LUXIO-146-CHEEKY-114.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,c98f8e,uQnlSlWeQ7ubJ3aEoBJRkQ,,,,,
FLIRT ,147,https://i.ibb.co/mHstXxB/LUXIO-147-FLIRT-115.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,c7b5b5,6xY1HQS7Rw6X.sQ4XV8vug,,,,,
COY ,148,https://i.ibb.co/cbjwFZZ/LUXIO-148-COY-116.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,COLOURS,e8ecee,gU95Qt8OQpOP83csrgC9Mw,,,,,2
ELLE ,149,https://i.ibb.co/3MKmMWf/LUXIO-149-ELLE-117.png,"Nail O`Clock, Chicago",LUXIO,ATELIER COLLECTION,706c84,E3kcisZ9Ri2e6oWdLj9Z3g,,,,,
CASHMERE ,150,https://i.ibb.co/jy6HqFs/LUXIO-150-CASHMERE-118.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,ATELIER COLLECTION,4c4447,PXcaEYXMSqKIk4k5NjWdJA,,,,,
VERT ,151,https://i.ibb.co/HKfJthT/LUXIO-151-VERT-119.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,ATELIER COLLECTION,3a3f28,SDlE.11hTfKWcdtQvdQGWw,,,,,
BESPOKE ,152,https://i.ibb.co/phrwkRp/LUXIO-152-BESPOKE-120.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,ATELIER COLLECTION,400823,3GKnAScZQVyeth-55Az0VQ,,,,,
MUSE ,153,https://i.ibb.co/pPPXj3S/LUXIO-153-MUSE-121.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,ATELIER COLLECTION,800814,X3EsPGIRRJiYlnRCtMxDmA,,,,,
VAMP ,154,https://i.ibb.co/qpM7NR7/LUXIO-154-VAMP-122.png,"Nail O`Clock, Студия Анны Ключко, Chicago",LUXIO,ATELIER COLLECTION,330205,xqZImTccSNGec-zqZ7aBfA,,,,,
